"dest_ip","threat_list_name"
"223.255.191.92","Binary_Defense_IPs"
"223.255.145.158","Binary_Defense_IPs"
"223.244.130.170","Binary_Defense_IPs"
"223.243.185.78","Binary_Defense_IPs"
